model,task,n,errors,declined,accuracy,macro_f1,auto@95,ece,brier,p50_ms,p95_ms,extra
jev,triage,198,0,0,0.9343434343434344,0.9324936479331908,0.9797979797979798,0.03666666666666662,,151.76793793216348,203.82166700437665,
openjev,triage,198,0,0,0.8838383838383839,0.8876891721231345,0.8838383838383839,0.26325660466857315,,1590.0178330484778,1851.754416944459,
needle,triage,198,0,108,0.2828282828282828,0.3748512161620988,0.010101010101010102,0.17981000000000003,,29.558395966887474,50.238416995853186,
jev,intent_oos,200,0,0,0.91,0.9219924812030075,0.625,0.07254999999999998,,150.74231254402548,209.90866608917713,"out-of-scope recall 0.84, in-scope acc 0.93"
openjev,intent_oos,200,0,0,0.745,0.7394382561801771,0.435,0.2499952162965136,,2642.292666481808,2847.57991717197,"out-of-scope recall 0.82, in-scope acc 0.72"
needle,intent_oos,200,0,56,0.2,0.2657692334132897,0.0,0.5428111111111111,,37.18960389960557,91.00775001570582,"out-of-scope recall 0.00, in-scope acc 0.27; acc 0.38 if declines count as out_of_scope"
jev,toxicity,200,0,0,0.785,0.7922705314009661,0.205,0.06865000000000002,0.1494485,151.41564549412578,201.84120815247297,"toxic precision 0.77, recall 0.82"
openjev,toxicity,200,0,0,0.585,0.3252032520325203,0.015,0.207890144669201,0.27325255630996564,465.4749169712886,1120.0000829994678,"toxic precision 0.87, recall 0.20"
needle,toxicity,200,0,76,0.32,0.5435897435897435,0.0,0.35927903225806457,0.376431119516129,47.88943799212575,113.99841704405844,"toxic precision 0.56, recall 0.53"
jev,tool_select,200,0,0,0.995,,1.0,0.005899999999999955,,147.93108333833516,217.06412499770522,
openjev,tool_select,200,0,0,0.995,,1.0,0.07623276809743759,,1075.8349165553227,1768.2171249762177,
needle,tool_select,200,0,0,0.95,,1.0,0.07766900000000004,,163.5988955385983,276.62525000050664,function + arguments correct 0.61
